CO2 Emissions: 0.005140697641224397 kg
Peak Memory Usage: 3056.34765625 MB

Profile Stats:
         36904374 function calls (34790896 primitive calls) in 865.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18678    0.081    0.000    2.549    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/gen_math_ops.py:7988(_range)
    37520    0.078    0.000    2.519    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:588(<listcomp>)
    37564    0.055    0.000    2.445    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:958(type_spec_from_value)
400555/388769    0.450    0.000    2.419    0.000 {built-in method builtins.next}
    37598    0.183    0.000    2.392    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:1007(_type_spec_from_value)
    37538    0.086    0.000    2.340    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:383(canonicalize_function_inputs)
        2    0.000    0.000    2.322    1.161 /usr/local/lib/python3.11/dist-packages/keras/src/optimizers/base_optimizer.py:381(apply_gradients)
        2    0.000    0.000    2.322    1.161 /usr/local/lib/python3.11/dist-packages/keras/src/optimizers/base_optimizer.py:387(apply)
    37538    0.213    0.000    2.254    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:428(bind_function_inputs)
     9335    0.163    0.000    2.184    0.000 /usr/local/lib/python3.11/dist-packages/ipykernel/iostream.py:526(write)
1211/1130    0.088    0.000    2.115    0.002 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/op_def_library.py:752(_apply_op_helper)
    37538    0.427    0.000    1.998    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/polymorphism/function_type.py:262(bind_with_defaults)
    75104    0.160    0.000    1.982    0.000 /usr/lib/python3.11/inspect.py:3190(bind)
        2    0.000    0.000    1.953    0.976 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:719(__init__)
        2    0.003    0.001    1.952    0.976 /usr/local/lib/python3.11/dist-packages/keras/src/trainers/data_adapters/array_data_adapter.py:105(get_tf_dataset)
     9335    0.056    0.000    1.919    0.000 /usr/local/lib/python3.11/dist-packages/ipykernel/iostream.py:456(_schedule_flush)
    18670    0.096    0.000    1.917    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/gen_math_ops.py:6484(mean)
    18756    0.144    0.000    1.901    0.000 {method 'pop' of 'collections.OrderedDict' objects}
37812/37784    0.107    0.000    1.857    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/nest_util.py:1105(<listcomp>)
    75036    0.357    0.000    1.844    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/polymorphism/function_type.py:448(__eq__)
        2    0.000    0.000    1.837    0.918 /usr/local/lib/python3.11/dist-packages/keras/src/trainers/data_adapters/array_data_adapter.py:176(slice_inputs)
    75104    1.189    0.000    1.822    0.000 /usr/lib/python3.11/inspect.py:3059(_bind)
   243842    0.393    0.000    1.681    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:600(__get_cmp_key)
    94608    0.476    0.000    1.664    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor.py:853(__init__)
    20280    0.031    0.000    1.564    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor_util.py:1135(is_tf_type)
    93812    0.397    0.000    1.530    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/math_ops.py:940(cast)
    18762    0.057    0.000    1.515    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:252(<lambda>)
    18782    0.174    0.000    1.453    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor.py:1080(to_tensors)
    38246    0.335    0.000    1.447    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor.py:743(__tf_tracing_type__)
        4    0.000    0.000    1.402    0.351 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/dataset_ops.py:700(from_tensors)
        4    0.000    0.000    1.401    0.350 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/from_tensors_op.py:22(_from_tensors)
        4    0.000    0.000    1.401    0.350 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/from_tensors_op.py:29(__init__)
    18780    0.083    0.000    1.397    0.000 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:735(__next__)
        6    0.000    0.000    1.394    0.232 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/util/structure.py:70(normalize_element)
    18783    0.119    0.000    1.327    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/polymorphism/function_type.py:518(_make_validated_mono_param)
        2    0.000    0.000    1.306    0.653 /usr/local/lib/python3.11/dist-packages/keras/src/optimizers/base_optimizer.py:454(_backend_apply_gradients)
    37908    0.082    0.000    1.290    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/ops.py:4518(colocate_with)
        2    0.000    0.000    1.288    0.644 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/optimizer.py:113(_backend_update_step)
   288324    0.913    0.000    1.283    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/dtypes.py:793(as_dtype)
    18676    0.045    0.000    1.260    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/array_ops.py:878(rank)
    18780    0.129    0.000    1.255    0.000 /usr/local/lib/python3.11/dist-packages/keras/src/trainers/epoch_iterator.py:96(_enumerate_iterator)
       22    0.000    0.000    1.255    0.057 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:3445(merge_call)
        2    0.000    0.000    1.255    0.627 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/merge_call_interim.py:29(maybe_merge_call)
        2    0.000    0.000    1.255    0.627 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/optimizer.py:127(_distributed_tf_update_step)
    40/20    0.000    0.000    1.255    0.063 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:2932(update)
       20    0.000    0.000    1.254    0.063 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:2874(_replica_ctx_update)
       22    0.000    0.000    1.253    0.057 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:3480(_merge_call)
    75044    0.451    0.000    1.252    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/polymorphism/function_type.py:146(__eq__)
       20    0.000    0.000    1.251    0.063 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:2883(merge_fn)
       20    0.000    0.000    1.249    0.062 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:4072(_update)
       20    0.000    0.000    1.249    0.062 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:4077(_update_non_slot)
       20    0.000    0.000    1.246    0.062 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/optimizer.py:130(apply_grad_to_update_var)
       20    0.003    0.000    1.246    0.062 /usr/local/lib/python3.11/dist-packages/keras/src/optimizers/adam.py:115(update_step)
664659/664642    0.383    0.000    1.217    0.000 <frozen abc>:117(__instancecheck__)
    18676    0.310    0.000    1.215    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/array_ops.py:914(rank_internal)
    37908    0.157    0.000    1.208    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/ops.py:4473(_colocate_with_for_gradient)
   169351    0.076    0.000    1.202    0.000 {built-in method builtins.iter}
1844/1822    0.025    0.000    1.199    0.001 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/func_graph.py:604(_create_op_internal)
